号码,出现次数,当前遗漏(期),分类,每期出现率
01,4,2,温,0.200
02,3,7,温,0.150
03,4,5,温,0.200
04,4,1,温,0.200
05,4,1,温,0.200
06,2,0,冷,0.100
07,4,3,温,0.200
08,6,6,热,0.300
09,2,8,冷,0.100
10,2,0,冷,0.100
11,4,1,温,0.200
12,4,0,温,0.200
13,1,8,冷,0.050
14,5,3,热,0.250
15,3,0,温,0.150
16,5,3,热,0.250
17,3,2,温,0.150
18,5,4,热,0.250
19,5,1,热,0.250
20,1,5,冷,0.050
21,4,6,温,0.200
22,1,2,冷,0.050
23,2,7,冷,0.100
24,7,0,热,0.350
25,4,4,温,0.200
26,2,7,冷,0.100
27,5,0,热,0.250
28,4,3,温,0.200
29,6,2,热,0.300
30,4,6,温,0.200
31,2,10,冷,0.100
32,6,1,热,0.300
33,2,10,冷,0.100
